Atividade,CBO,DIT,LOC,Maturidade,Nome,Popularidade,Url,WMC
0,3.0,1.0,33.0,5.0,hackpad,3414,https://github.com/dropbox/hackpad,7.0
0,3.0,1.0,15.5,2.0,giffun,3411,https://github.com/guolindev/giffun,4.0
2,3.5,2.0,19.5,4.0,Music-Player,3407,https://github.com/andremion/Music-Player,3.0
0,4.0,1.0,14.0,11.0,shiro,3406,https://github.com/apache/shiro,3.0
0,3.0,1.0,13.0,6.0,android-priority-jobqueue,3399,https://github.com/yigit/android-priority-jobqueue,2.0
30,4.0,1.0,16.0,5.0,FlexibleAdapter,3396,https://github.com/davideas/FlexibleAdapter,4.0
38,2.0,1.0,5.0,4.0,SuperTextView,3379,https://github.com/lygttpod/SuperTextView,1.0
0,3.5,1.0,16.5,5.0,archi,3372,https://github.com/ivacf/archi,3.5
0,5.0,1.0,22.0,5.0,failsafe,3370,https://github.com/jhalterman/failsafe,4.0
0,4.0,1.0,8.0,2.0,springboot-guide,3367,https://github.com/Snailclimb/springboot-guide,1.0
33,2.0,1.0,15.0,5.0,react-native-webrtc,3363,https://github.com/react-native-webrtc/react-native-webrtc,4.0
3,5.0,1.0,23.5,4.0,blurkit-android,3361,https://github.com/CameraKit/blurkit-android,2.5
5,3.0,1.0,16.0,6.0,open-location-code,3355,https://github.com/google/open-location-code,2.0
37,5.0,2.0,29.0,8.0,linuxdeploy,3345,https://github.com/meefik/linuxdeploy,7.0
10,2.0,1.0,19.0,4.0,SSM,3343,https://github.com/crossoverJie/SSM,5.0
1,3.0,2.0,14.0,4.0,ChatKit,3335,https://github.com/stfalcon-studio/ChatKit,3.0
11,3.0,1.0,14.0,6.0,CustomActivityOnCrash,3324,https://github.com/Ereza/CustomActivityOnCrash,2.0
63,3.0,2.0,11.0,8.0,pmd,3321,https://github.com/pmd/pmd,3.0
97,3.0,1.0,17.0,5.0,actor-platform,3310,https://github.com/actorapp/actor-platform,4.0
11,2.0,1.0,40.0,4.0,gnirehtet,3309,https://github.com/Genymobile/gnirehtet,6.0
7,3.0,1.0,20.0,7.0,jitsi,3308,https://github.com/jitsi/jitsi,5.0
9,3.0,1.0,16.5,4.0,mpush,3304,https://github.com/mpusher/mpush,4.0
0,4.0,1.0,17.0,6.0,dddsample-core,3300,https://github.com/citerus/dddsample-core,3.0
4,2.0,1.0,13.0,6.0,Android-Week-View,3299,https://github.com/alamkanak/Android-Week-View,2.0
37,4.0,1.0,19.0,2.0,sofa-rpc,3294,https://github.com/sofastack/sofa-rpc,4.0
3,5.0,1.0,12.0,3.0,rejoiner,3288,https://github.com/google/rejoiner,3.0
30,3.0,1.0,17.0,3.0,DKVideoPlayer,3285,https://github.com/Doikki/DKVideoPlayer,4.0
83,3.0,1.0,14.0,3.0,lbry-android,3278,https://github.com/lbryio/lbry-android,3.0
2,2.0,1.0,7.0,4.0,SwipeDelMenuLayout,3265,https://github.com/mcxtzhang/SwipeDelMenuLayout,1.0
242,6.0,1.0,26.5,4.0,conductor,3263,https://github.com/Netflix/conductor,4.0
0,2.0,1.0,12.0,5.0,99-problems,3262,https://github.com/shekhargulati/99-problems,3.0
20,4.0,1.0,8.0,5.0,spring-boot-starter,3261,https://github.com/mybatis/spring-boot-starter,2.0
0,4.5,1.0,19.5,5.0,MyBatis-Spring-Boot,3257,https://github.com/abel533/MyBatis-Spring-Boot,4.5
3,3.0,1.0,13.0,3.0,AppUpdate,3254,https://github.com/WVector/AppUpdate,3.0
4,2.0,1.0,10.0,3.0,ScalingLayout,3244,https://github.com/iammert/ScalingLayout,2.0
